선정 여부,주차,신청 번호,신청 일자,시작 일자,브랜드,,타이틀,프로모션 내용,URL,이미지,비고,팀명
,,id,requested_start_date_time,release_start_date_time,sourceBrandId,event_name,main_title,promotion_content,landing_url,img_url,remarks,register_team_name
,2,563807,2026-01-05 2:00:00,2026-01-04 15:00:00,kolonsport,코오롱스포츠 안타티카 브랜드위크,코오롱스포츠 안타티카 단독전,최대 20% 할인,https://www.musinsa.com/content/1443769065653353950,https://image.msscdn.net/cms/v2/content/file_1764830371010_124633399_gmv8xy.jpg,,아웃도어
,2,562534,2026-01-05 3:00:00,2026-01-04 15:00:00,overwhelm,[무신사드롭] 압도 x 블랙컴뱃,압도 × 블랙컴뱃,무신사드롭 콜라보 단독,https://www.musinsa.com/content/1452485686407586921,https://image.msscdn.net/cms/v2/content/file_1766476760404_9020700_8h8lzk.jpg,,트렌드상품 & IP 기획
,2,558779,2026-01-06 2:00:00,2026-01-05 15:00:00,filakids,휠라 키즈 x 플라키키,휠라 키즈 x 플라키키,휠라 키즈,https://www.musinsa.com/content/1450037231923883029,https://image.msscdn.net/cms/v2/content/file_1765786386998_192661799_dpnh6h.jpg,,키즈
,2,558948,2026-01-07 2:00:00,2026-01-06 15:00:00,vans,반스 스케이트 로퍼 블랙 재입고,반스 스케이트 로퍼 블랙 재입고,별도 프로모션 없음,https://www.musinsa.com/content/1448943696326518618,https://image.msscdn.net/cms/v2/content/file_1765525633390_194139900_qyll03.jpg,,무신사풋웨어
,2,563423,2026-01-07 2:00:00,2026-01-06 15:00:00,mac,M·A·C 무신사 론칭,M·A·C 무신사 론칭,맥 무신사 론칭 및 NEW 파우더 키스 론칭 (무신사 익스클루시브 컬러 2개) 10% 할인 및 사은품 및 시크릿 쿠폰,https://www.musinsa.com/content/1451103280763334987,https://image.msscdn.net/cms/v2/content/file_1767749806394_6106199_ad33xp.jpg,*앱푸시 이미지 제작 완료,뷰티바잉
,2,564131,2026-01-08 2:00:00,2026-01-07 15:00:00,brandmarketing,무신사 12월 월간랭킹,랭킹 리포트로 보는 12월 트렌드  패션/슈즈/뷰티 카테고리 별 가장 사랑받은 브랜드 TOP 10 확인하기,무신사 12월 월간 랭킹,https://www.musinsa.com/content/1448189205562589703,https://image.msscdn.net/cms/v2/content/file_1767675772309_889705799_qg5n4h.jpg,"1/7(수) 11시에 매거진 발행 예정으로, 1/8(목)~1/14(수) 오전 11시에 발송희망합니다!",브랜드마케팅2
,2,561105,2026-01-08 10:00:00,2026-01-07 15:00:00,cosmopolitan,밈고리즘X꼼파뇨,밈고리즘X꼼파뇨,밈고리즘X꼼파뇨X코스모폴리탄 3자 협업 무신사 에디션 진행건,https://www.musinsa.com/content/1457641002855478334,https://image.msscdn.net/cms/v2/content/file_1767760826104_12142700_p4h7gp.jpg,,라이프
,2,551206,2026-01-08 15:00:00,2026-01-08 15:00:00,adidas,아디다스 아디제로 아디오스 OG 무신사 에디션 발매,아디다스 아디제로 아디오스 OG 무신사 에디션 발매,발매 기념 10% 쿠폰,https://www.musinsa.com/content/1451104408697432595,https://image.msscdn.net/cms/v2/content/file_1767773995608_10393800_0jgdpi.jpg,오프라인 무신사 킥스 론칭 연계 동시 발매,무신사풋웨어
,2,557855,2026-01-09 1:00:00,2026-01-08 15:00:00,ronron,론론 25SS 1차 발매,론론 26SS 1차 발매,- 타이틀: 론론 26SS 1차 발매 - 스킴: 최대 20% + 20%쿠폰  - 구성: 론론 뉴로고 신상 + SS1차 + 단독상품,,,,여성패션
