send_dt,send_time,target,priority,ad_code,content_type,goods_id,category_id,brand_id,team_id,braze_campaign_name,title,contents,landing_url,image_url,push_url,feed_url,webhook_contents,stopped
2025-12-02,11:00,전체,1,APSCMCD386,콘텐츠,,,nike,,251202_11시_APSCMCD386_정기_GMV_나이키 에어 포스 1 단독 발매_전체_콘텐츠,나이키 에어 포스 1 단독 발매,"(광고)올 블랙보다 시크한 그레이 스티치의 존재감
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1443485516350042578,https://image.msscdn.net/cms/v2/content/file_1764224329246_180429600_fz9yj1.jpg,https://www.musinsa.com/content/1443485516350042578?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD386&source=APSCMCD386,https://www.musinsa.com/content/1443485516350042578?source=FEDCMCD386,(광고)올 블랙보다 시크한 그레이 스티치의 존재감\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-03,11:00,전체,1,APSCMCD387,캠페인,,,,"유니섹스패션,여성패션,남성패션",251203_11시_APSCMCD387_정기_GMV_[오늘 종료] 무신사 멤버스데이_전체_캠페인,[오늘 종료] 무신사 멤버스데이,"(광고) 최대 30% 쿠폰 + 최대 5만원 적립금 + 최대 1만원 결제혜택
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/membersday_2512/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/607209a0fe86412bb76cc6cf291647ee.jpg,https://www.musinsa.com/campaign/membersday_2512/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD387&source=APSCMCD387,https://www.musinsa.com/campaign/membersday_2512/0?source=FEDCMCD387,(광고) 최대 30% 쿠폰 + 최대 5만원 적립금 + 최대 1만원 결제혜택\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-04,11:00,전체,1,APSCMCD388,캠페인,,,,"유니섹스패션,여성패션,남성패션,글로벌패션",251204_11시_APSCMCD388_정기_GMV_월간 입점회 12월 오픈_전체_캠페인,월간 입점회 12월 오픈,"(광고) 러드, 온스카, 파라점퍼스 등 최대 30% 쿠폰 및 결제 혜택
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/brandshowcase_2512/0,,https://www.musinsa.com/campaign/brandshowcase_2512/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD388&source=APSCMCD388,https://www.musinsa.com/campaign/brandshowcase_2512/0?source=FEDCMCD388,"(광고) 러드, 온스카, 파라점퍼스 등 최대 30% 쿠폰 및 결제 혜택\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-05,11:00,전체,1,APSCMCD389,캠페인,,,,"아웃도어,애슬레저,유니섹스패션,풋웨어 나이키,풋웨어 통합바잉,풋웨어 세일즈",251205_11시_APSCMCD389_정기_GMV_엄브로 with DAY6_전체_캠페인,엄브로 with DAY6,"(광고) 매일 최대 20% 쿠폰
무신사에서만 만나볼 수 있는 단독 이벤트
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/umbro_2512/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/fe6ea34dd4af44228018c84da5aa9a44.jpg,https://www.musinsa.com/campaign/umbro_2512/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD389&source=APSCMCD389,https://www.musinsa.com/campaign/umbro_2512/0?source=FEDCMCD389,(광고) 매일 최대 20% 쿠폰\n무신사에서만 만나볼 수 있는 단독 이벤트\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-06,11:00,전체,1,APSCMCD390,콘텐츠,,,browneyedsoul,,251206_11시_APSCMCD390_정기_GMV_브라운 아이드 소울 SOUL Tricycle_전체_콘텐츠,브라운 아이드 소울 SOUL Tricycle,"(광고) 다시 시작되는 그들의 이야기를 담은 굿즈, 무신사 드롭 발매
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1443175807417777897,https://image.msscdn.net/cms/v2/content/file_1764656540133_18301199_0b0glr.jpg,https://www.musinsa.com/content/1443175807417777897?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD390&source=APSCMCD390,https://www.musinsa.com/content/1443175807417777897?source=FEDCMCD390,"(광고) 다시 시작되는 그들의 이야기를 담은 굿즈, 무신사 드롭 발매\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-07,11:00,전체,1,APSCMCD391,캠페인,,,,"아웃도어,애슬레저,유니섹스패션,풋웨어 나이키,풋웨어 통합바잉,풋웨어 세일즈",251207_11시_APSCMCD391_정기_GMV_리드볼트 최대 20% 할인_전체_캠페인,리드볼트 최대 20% 할인,"(광고) NO SANTA, JUST CARRY-ON
노홍철 PICK 캐리어 단독 발매
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/LEADVAULT2025/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/de57607092b34ebd849605b7925450c8.jpg,https://www.musinsa.com/campaign/LEADVAULT2025/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD391&source=APSCMCD391,https://www.musinsa.com/campaign/LEADVAULT2025/0?source=FEDCMCD391,"(광고) NO SANTA, JUST CARRY-ON\n노홍철 PICK 캐리어 단독 발매\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-08,11:00,전체,1,APSCMCD392,캠페인,,,,"아웃도어,애슬레저",251208_11시_APSCMCD392_정기_GMV_디스커버리 익스페디션 캠페인_전체_캠페인,디스커버리 익스페디션 캠페인,"(광고) 최대 20% 스페셜 쿠폰팩
지금 만나는 디스커버리 익스페디션 신상
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/discoveryexpeditiondec/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/5afcf9d3ad224c93b081075c15bf7f3f.jpg,https://www.musinsa.com/campaign/discoveryexpeditiondec/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD392&source=APSCMCD392,https://www.musinsa.com/campaign/discoveryexpeditiondec/0?source=FEDCMCD392,(광고) 최대 20% 스페셜 쿠폰팩\n지금 만나는 디스커버리 익스페디션 신상\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-08,11:00,전체,2,APSCMCD393,캠페인,,,,"여성패션,뷰티1,뷰티2",251208_11시_APSCMCD393_정기_GMV_오직 무신사 뷰티_전체_캠페인,오직 무신사 뷰티,"(광고) 최대 80% 할인 + 단 하루 25% 쿠폰
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/onlymusinsabeauty7/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/ed1284b4bc0f4ce792535904a505e8f6.jpg,https://www.musinsa.com/campaign/onlymusinsabeauty7/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD393&source=APSCMCD393,https://www.musinsa.com/campaign/onlymusinsabeauty7/0?source=FEDCMCD393,(광고) 최대 80% 할인 + 단 하루 25% 쿠폰\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-08,11:00,전체,3,APSCMCD394,콘텐츠,,,vans,,251208_11시_APSCMCD394_정기_GMV_반스 12월 빅 세일_전체_콘텐츠,반스 12월 빅 세일,"(광고) 최대 80% 할인 및 25년 마지막 빅세일
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1445335979609503623,https://image.msscdn.net/cms/v2/content/cms_6c572dac-63da-4.jpg,https://www.musinsa.com/content/1445335979609503623?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD394&source=APSCMCD394,https://www.musinsa.com/content/1445335979609503623?source=FEDCMCD394,(광고) 최대 80% 할인 및 25년 마지막 빅세일\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-09,11:00,전체,1,APSCMCD395,캠페인,,,,"KAM,유니섹스패션",251209_11시_APSCMCD395_정기_GMV_SPA 브랜드위크 최대 80% 할인_전체_캠페인,SPA 브랜드위크 최대 80% 할인,"(광고) 추가 최대 30% 쿠폰
매일 11시 릴레이 브랜드데이
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/2512_spa_brand_week/0,,https://www.musinsa.com/campaign/2512_spa_brand_week/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD395&source=APSCMCD395,https://www.musinsa.com/campaign/2512_spa_brand_week/0?source=FEDCMCD395,(광고) 추가 최대 30% 쿠폰\n매일 11시 릴레이 브랜드데이\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
