,,"001,017,101",,"<-- 복사해서 H열에 값으로 붙여넣기
"
구분,코드,카테고리명,Check,
1뎁스,001,상의,TRUE,
1뎁스,002,아우터,FALSE,
1뎁스,003,바지,FALSE,
1뎁스,004,가방,FALSE,
1뎁스,017,스포츠/레저,TRUE,
1뎁스,026,속옷/홈웨어,FALSE,
1뎁스,100,원피스/스커트,FALSE,
1뎁스,101,소품,TRUE,
1뎁스,102,디지털/라이프,FALSE,
1뎁스,103,신발,FALSE,
1뎁스,104,뷰티,FALSE,
1뎁스,105,부티크,FALSE,
1뎁스,106,키즈,FALSE,
1뎁스,107,아울렛,FALSE,
1뎁스,108,어스,FALSE,
1뎁스,109,유즈드,FALSE,
1뎁스,111,K-커넥트,FALSE,
1뎁스,112,스포츠 구단,FALSE,
1뎁스,113,캐릭터,FALSE,
1뎁스,114,만화/애니메이션,FALSE,
1뎁스,115,모터스,FALSE,
1뎁스,116,F&B,FALSE,
2뎁스,001001,반소매 티셔츠,FALSE,
2뎁스,001002,셔츠/블라우스,FALSE,
2뎁스,001003,피케/카라 티셔츠,FALSE,
2뎁스,001004,후드 티셔츠,FALSE,
2뎁스,001005,맨투맨/스웨트,FALSE,
2뎁스,001006,니트/스웨터,FALSE,
2뎁스,001008,기타 상의,FALSE,
2뎁스,001010,긴소매 티셔츠,FALSE,
2뎁스,001011,민소매 티셔츠,FALSE,
2뎁스,002001,블루종/MA-1,FALSE,
2뎁스,002002,레더/라이더스 재킷,FALSE,
2뎁스,002003,슈트/블레이저 재킷,FALSE,
2뎁스,002004,스타디움 재킷,FALSE,
2뎁스,002006,나일론/코치 재킷,FALSE,
2뎁스,002007,겨울 싱글 코트,FALSE,
2뎁스,002008,환절기 코트,FALSE,
2뎁스,002009,겨울 기타 코트,FALSE,
2뎁스,002012,숏패딩/헤비 아우터,FALSE,
2뎁스,002013,롱패딩/헤비 아우터,FALSE,
2뎁스,002014,사파리/헌팅 재킷,FALSE,
2뎁스,002015,기타 아우터,FALSE,
2뎁스,002017,트러커 재킷,FALSE,
2뎁스,002018,트레이닝 재킷,FALSE,
2뎁스,002019,아노락 재킷,FALSE,
2뎁스,002020,카디건,FALSE,
2뎁스,002021,베스트,FALSE,
2뎁스,002022,후드 집업,FALSE,
2뎁스,002023,플리스/뽀글이,FALSE,
2뎁스,002024,겨울 더블 코트,FALSE,
2뎁스,002025,무스탕/퍼,FALSE,
2뎁스,002027,경량 패딩/패딩 베스트,FALSE,
2뎁스,003002,데님 팬츠,FALSE,
2뎁스,003004,트레이닝/조거 팬츠,FALSE,
2뎁스,003005,레깅스,FALSE,
2뎁스,003006,기타 하의,FALSE,
2뎁스,003007,코튼 팬츠,FALSE,
2뎁스,003008,슈트 팬츠/슬랙스,FALSE,
2뎁스,003009,숏 팬츠,FALSE,
2뎁스,003010,점프 슈트/오버올,FALSE,
2뎁스,004001,백팩,FALSE,
2뎁스,004002,메신저/크로스 백,FALSE,
2뎁스,004003,숄더백,FALSE,
2뎁스,004005,클러치 백,FALSE,
2뎁스,004006,보스턴/더플백,FALSE,
